2023-04-28 00:06:13.4675|INFO|Info
2023-04-28 00:06:13.4881|INFO|AltTester logs are saved at: ./AltTester.log
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:32|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:33|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:34|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:34|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:34|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:34|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:34|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:34|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
